media_r,media_g,media_b,std_r,std_g,std_b,mean_gb,std_mg,density,dissimilarity_dist0_ang0,dissimilarity_dist0_ang1,dissimilarity_dist0_ang2,dissimilarity_dist0_ang3,dissimilarity_dist1_ang0,dissimilarity_dist1_ang1,dissimilarity_dist1_ang2,dissimilarity_dist1_ang3,dissimilarity_dist2_ang0,dissimilarity_dist2_ang1,dissimilarity_dist2_ang2,dissimilarity_dist2_ang3,dissimilarity_dist3_ang0,dissimilarity_dist3_ang1,dissimilarity_dist3_ang2,dissimilarity_dist3_ang3,dissimilarity_dist4_ang0,dissimilarity_dist4_ang1,dissimilarity_dist4_ang2,dissimilarity_dist4_ang3,correlation_dist0_ang0,correlation_dist0_ang1,correlation_dist0_ang2,correlation_dist0_ang3,correlation_dist1_ang0,correlation_dist1_ang1,correlation_dist1_ang2,correlation_dist1_ang3,correlation_dist2_ang0,correlation_dist2_ang1,correlation_dist2_ang2,correlation_dist2_ang3,correlation_dist3_ang0,correlation_dist3_ang1,correlation_dist3_ang2,correlation_dist3_ang3,correlation_dist4_ang0,correlation_dist4_ang1,correlation_dist4_ang2,correlation_dist4_ang3,contrast_dist0_ang0,contrast_dist0_ang1,contrast_dist0_ang2,contrast_dist0_ang3,contrast_dist1_ang0,contrast_dist1_ang1,contrast_dist1_ang2,contrast_dist1_ang3,contrast_dist2_ang0,contrast_dist2_ang1,contrast_dist2_ang2,contrast_dist2_ang3,contrast_dist3_ang0,contrast_dist3_ang1,contrast_dist3_ang2,contrast_dist3_ang3,contrast_dist4_ang0,contrast_dist4_ang1,contrast_dist4_ang2,contrast_dist4_ang3,energy_dist0_ang0,energy_dist0_ang1,energy_dist0_ang2,energy_dist0_ang3,energy_dist1_ang0,energy_dist1_ang1,energy_dist1_ang2,energy_dist1_ang3,energy_dist2_ang0,energy_dist2_ang1,energy_dist2_ang2,energy_dist2_ang3,energy_dist3_ang0,energy_dist3_ang1,energy_dist3_ang2,energy_dist3_ang3,energy_dist4_ang0,energy_dist4_ang1,energy_dist4_ang2,energy_dist4_ang3,homogeneity_dist0_ang0,homogeneity_dist0_ang1,homogeneity_dist0_ang2,homogeneity_dist0_ang3,homogeneity_dist1_ang0,homogeneity_dist1_ang1,homogeneity_dist1_ang2,homogeneity_dist1_ang3,homogeneity_dist2_ang0,homogeneity_dist2_ang1,homogeneity_dist2_ang2,homogeneity_dist2_ang3,homogeneity_dist3_ang0,homogeneity_dist3_ang1,homogeneity_dist3_ang2,homogeneity_dist3_ang3,homogeneity_dist4_ang0,homogeneity_dist4_ang1,homogeneity_dist4_ang2,homogeneity_dist4_ang3,asm_dist0_ang0,asm_dist0_ang1,asm_dist0_ang2,asm_dist0_ang3,asm_dist1_ang0,asm_dist1_ang1,asm_dist1_ang2,asm_dist1_ang3,asm_dist2_ang0,asm_dist2_ang1,asm_dist2_ang2,asm_dist2_ang3,asm_dist3_ang0,asm_dist3_ang1,asm_dist3_ang2,asm_dist3_ang3,asm_dist4_ang0,asm_dist4_ang1,asm_dist4_ang2,asm_dist4_ang3,indice,prediction,max_proba,2da_proba_max,dif_proba,prediction_actual_dif,prediction_actual_conjunta
152.237156,146.836005,174.778463,47.341837,49.280618,38.036863,725.5223999023438,756.0955200195312,0.1632,11.351634,18.936163,23.160739,26.883053,31.524032,7.695854,7.695854,11.486915,14.751342,17.47247,11.416613,19.025362,23.117057,25.76053,29.233954,17.72272,17.72272,24.631887,31.744186,36.253348,0.932473,0.807565,0.694825,0.594215,0.487285,0.975309,0.975309,0.938557,0.8949,0.851141,0.931408,0.804581,0.6978,0.611547,0.522138,0.817209,0.817209,0.620065,0.435568,0.265973,326.520261,923.533757,1455.278386,1922.978291,2417.13594,118.045439,118.045439,288.041322,483.508408,671.05506,330.890331,933.943017,1432.98796,1828.335938,2233.108351,874.51675,874.51675,1785.29511,2612.964222,3348.111235,0.020815,0.018407,0.017794,0.017645,0.017074,0.021873,0.021873,0.020008,0.019222,0.018942,0.020729,0.018486,0.017518,0.017401,0.017172,0.019124,0.019124,0.0178,0.017239,0.017342,0.120466,0.071691,0.06648,0.062977,0.04562,0.152054,0.152054,0.114697,0.097681,0.085397,0.128565,0.077158,0.074508,0.067093,0.050538,0.088036,0.088036,0.076686,0.046791,0.046775,0.000433,0.000339,0.000317,0.000311,0.000292,0.000478,0.000478,0.0004,0.000369,0.000359,0.00043,0.000342,0.000307,0.000303,0.000295,0.000366,0.000366,0.000317,0.000297,0.000301,0.0,0,0.31232206682206687,0.18929545454545454,0.12302661227661232,0,0
232.307545,241.502558,249.658568,11.625086,12.239902,8.510099,243.72250366210938,641.7377319335938,0.0051,11.295344,18.372629,20.734008,22.222795,28.306074,4.937273,4.937273,5.3566,6.232373,6.821206,10.758929,17.59478,20.111842,21.311776,27.170635,17.558636,17.558636,21.740741,33.727905,38.639813,0.959709,0.883163,0.809914,0.742171,0.66692,0.995629,0.995629,0.994494,0.992466,0.990675,0.963145,0.89181,0.821935,0.756044,0.684743,0.889241,0.889241,0.749324,0.59823,0.453987,400.632816,1161.332882,1887.447308,2558.199343,3303.714012,43.611818,43.611818,55.059354,75.455809,93.549896,368.1,1084.505952,1791.993421,2466.529923,3205.301587,1104.915,1104.915,2506.644824,4023.099305,5476.181393,0.03568,0.035151,0.033637,0.038677,0.032941,0.043103,0.043103,0.043735,0.041128,0.041047,0.035125,0.035219,0.03349,0.038196,0.03329,0.034724,0.034724,0.038448,0.033681,0.035731,0.139379,0.079439,0.100473,0.145184,0.094618,0.213152,0.213152,0.211439,0.18363,0.164194,0.140145,0.080919,0.094572,0.151385,0.097729,0.08522,0.08522,0.14901,0.069584,0.110366,0.001273,0.001236,0.001131,0.001496,0.001085,0.001858,0.001858,0.001913,0.001691,0.001685,0.001234,0.00124,0.001122,0.001459,0.001108,0.001206,0.001206,0.001478,0.001134,0.001277,1.0,4,0.6679498834498836,0.16538156288156292,0.5025683205683207,4,4
236.587449,247.118313,251.523663,6.485943,6.042493,4.487116,99.81069946289062,60.38771438598633,0.0005,5.679537,7.96131,6.114286,3.506303,5.845238,3.058058,3.058058,3.188034,3.454857,3.835784,5.545809,7.948381,6.289474,3.348684,5.518307,7.715716,7.715716,3.665598,7.913143,4.469363,0.174249,-0.452418,0.107702,0.693585,0.171917,0.725842,0.725842,0.708882,0.686511,0.622956,0.197826,-0.477021,0.036824,0.686213,0.20755,-0.346715,-0.346715,0.639174,-0.428238,0.508682,54.235521,95.713294,59.569388,20.743697,56.453463,17.682683,17.682683,18.685897,20.549714,24.759804,51.382066,93.92004,61.794737,19.881579,49.337529,86.734735,86.734735,23.146368,93.549714,32.295343,0.06709,0.066209,0.064794,0.086916,0.066885,0.086576,0.086576,0.086604,0.086159,0.081364,0.067403,0.067081,0.066345,0.087867,0.068793,0.065445,0.065445,0.082258,0.066024,0.076375,0.176948,0.118449,0.161159,0.258065,0.17291,0.318504,0.318504,0.299047,0.276881,0.2406,0.166381,0.111574,0.146744,0.280581,0.178564,0.110904,0.110904,0.25861,0.115626,0.196313,0.004501,0.004384,0.004198,0.007554,0.004474,0.007495,0.007495,0.0075,0.007423,0.00662,0.004543,0.0045,0.004402,0.007721,0.004732,0.004283,0.004283,0.006766,0.004359,0.005833,2.0,4,0.8086890462478697,0.06826470588235295,0.7404243403655169,4,4
237.13039,247.438398,251.671458,6.058446,5.993649,4.346972,107.1324462890625,71.53408813476562,0.0005,5.730392,7.666387,6.530277,4.44385,6.454963,3.160774,3.160774,3.58125,3.825427,4.470707,5.728911,7.798986,6.486486,4.154054,6.296365,7.484007,7.484007,4.426786,7.617647,4.979798,0.344879,-0.138437,0.200939,0.578634,0.20428,0.775935,0.775935,0.711895,0.665482,0.575373,0.359744,-0.183462,0.205586,0.616345,0.163523,-0.068969,-0.068969,0.583035,-0.16508,0.485339,57.165033,100.498319,71.499135,37.996435,72.160846,19.650673,19.650673,25.175893,29.060721,36.767677,55.766585,101.508446,66.929381,32.06036,69.358807,93.77862,93.77862,36.4,101.07685,44.462626,0.067091,0.06589,0.065977,0.079593,0.065982,0.089697,0.089697,0.087461,0.087737,0.080155,0.067982,0.06461,0.064681,0.081246,0.065104,0.064486,0.064486,0.077968,0.065086,0.072874,0.175482,0.145952,0.153154,0.234014,0.152923,0.314551,0.314551,0.291751,0.283267,0.227049,0.176883,0.129976,0.133034,0.237948,0.166813,0.133129,0.133129,0.230605,0.136449,0.203602,0.004501,0.004342,0.004353,0.006335,0.004354,0.008046,0.008046,0.007649,0.007698,0.006425,0.004622,0.004174,0.004184,0.006601,0.004239,0.004158,0.004158,0.006079,0.004236,0.005311,3.0,4,0.841,0.06477777777777778,0.7762222222222221,4,4
237.441353,247.05188,251.766165,6.758004,6.184958,4.36375,106.25714111328125,65.20802307128906,0.0004,5.517544,7.992921,6.268519,3.648299,6.071429,3.558408,3.558408,2.775,3.868946,3.409774,5.45591,8.111538,6.464826,3.579622,5.857242,7.181001,7.181001,3.521622,7.456553,4.496992,0.223468,-0.454653,0.054155,0.619309,0.129848,0.661678,0.661678,0.773789,0.609939,0.68479,0.238403,-0.474508,0.021996,0.639687,0.167565,-0.258151,-0.258151,0.644859,-0.327285,0.477491,51.545113,97.167954,63.570106,25.697279,59.117647,22.514763,22.514763,15.266892,26.690883,21.796241,50.945591,99.438462,66.501644,24.676788,57.415107,84.18742,84.18742,24.094595,91.349715,36.388722,0.070939,0.068686,0.065618,0.084299,0.065819,0.082324,0.082324,0.093673,0.081507,0.085757,0.070672,0.068113,0.065425,0.085621,0.066488,0.067166,0.067166,0.084261,0.065053,0.076372,0.203779,0.128093,0.160151,0.283992,0.162978,0.281044,0.281044,0.344904,0.261506,0.293666,0.205605,0.117404,0.151583,0.283386,0.178134,0.167323,0.167323,0.288226,0.149179,0.223253,0.005032,0.004718,0.004306,0.007106,0.004332,0.006777,0.006777,0.008775,0.006643,0.007354,0.004995,0.004639,0.00428,0.007331,0.004421,0.004511,0.004511,0.0071,0.004232,0.005833,4.0,4,0.9032669683257919,0.06576470588235295,0.837502262443439,4,4
238.715822,248.688172,252.209677,5.517661,5.28187,4.059632,102.14286041259766,70.50201416015625,0.0004,4.529286,6.353676,5.044697,3.500781,5.119355,2.79707,2.79707,2.77322,3.236691,3.447917,4.480057,6.46345,5.369369,3.381173,4.823016,5.959707,5.959707,3.541022,6.042588,4.226562,0.242081,-0.311604,0.131784,0.558261,0.115729,0.688379,0.688379,0.694634,0.616702,0.577556,0.267205,-0.355209,0.051208,0.583801,0.21184,-0.184053,-0.184053,0.541348,-0.222839,0.353473,40.513571,70.163971,46.47803,23.471094,47.106452,16.227106,16.227106,15.918731,19.854218,21.810764,38.819088,71.657895,49.836336,21.854938,41.176984,61.776557,61.776557,23.844427,63.189189,33.111979,0.095391,0.08559,0.085531,0.09792,0.083772,0.113519,0.113519,0.109124,0.100124,0.09691,0.094658,0.082707,0.081988,0.099384,0.086375,0.085592,0.085592,0.097844,0.080797,0.092018,0.287947,0.216594,0.239144,0.288848,0.215949,0.382492,0.382492,0.363397,0.320442,0.293801,0.282846,0.198217,0.199272,0.294306,0.221415,0.225512,0.225512,0.280741,0.183487,0.241577,0.009099,0.007326,0.007315,0.009588,0.007018,0.012887,0.012887,0.011908,0.010025,0.009392,0.00896,0.006841,0.006722,0.009877,0.007461,0.007326,0.007326,0.009573,0.006528,0.008467,5.0,4,0.8889812540400774,0.06576470588235295,0.8232165481577245,4,4
237.513122,247.462017,251.95511,6.791475,5.808638,4.503995,103.84254455566406,68.86998748779297,0.0003,5.47439,7.334584,6.097561,3.933421,5.615176,3.366875,3.366875,3.372781,4.026316,4.186267,5.331707,7.373984,6.355584,4.067238,5.547425,6.770625,6.770625,3.74096,6.706371,4.669832,0.314201,-0.133325,0.164802,0.594728,0.209436,0.720657,0.720657,0.656453,0.514531,0.493075,0.348677,-0.154666,0.06952,0.53333,0.204655,-0.00233,-0.00233,0.65986,-0.148483,0.425842,55.635366,88.695435,63.82285,30.479235,58.846883,22.128125,22.128125,25.601578,35.396122,37.293645,52.839024,90.457161,70.626444,34.697429,58.506775,79.018125,79.018125,24.723208,77.657895,36.647918,0.073018,0.071315,0.068756,0.082522,0.071169,0.086407,0.086407,0.089624,0.079943,0.079311,0.074544,0.07412,0.06964,0.084051,0.071182,0.072414,0.072414,0.085667,0.068533,0.075097,0.205837,0.146465,0.175367,0.254821,0.195111,0.314161,0.314161,0.317627,0.268094,0.239841,0.212722,0.152658,0.173146,0.264844,0.20814,0.181529,0.181529,0.255987,0.169521,0.200179,0.005332,0.005086,0.004727,0.00681,0.005065,0.007466,0.007466,0.008032,0.006391,0.00629,0.005557,0.005494,0.00485,0.007065,0.005067,0.005244,0.005244,0.007339,0.004697,0.00564,6.0,4,0.8095844155844156,0.085,0.7245844155844157,4,4
227.838384,236.813853,250.090188,9.836315,10.168777,5.802903,175.20274353027344,137.53541564941406,0.0004,7.042471,9.787698,8.14966,6.016807,8.440115,4.62294,4.62294,5.442361,6.56337,7.270898,6.844031,10.089474,8.811066,6.140582,8.012091,9.208306,9.208306,4.898611,9.334066,5.465944,0.539416,0.157829,0.387329,0.612507,0.317457,0.777525,0.777525,0.654472,0.510572,0.41597,0.576225,0.140407,0.30246,0.589509,0.387573,0.263357,0.263357,0.770015,0.233298,0.71556,79.157014,144.097222,104.855782,66.589636,116.98557,38.322347,38.322347,59.385417,83.857143,99.962848,74.049422,150.711842,122.090418,71.662742,106.652205,126.973632,126.973632,39.6,132.024176,49.543344,0.039928,0.038122,0.038707,0.043645,0.038314,0.049113,0.049113,0.046408,0.043208,0.042559,0.040024,0.0375,0.037898,0.043717,0.038836,0.037894,0.037894,0.046315,0.038071,0.044185,0.122183,0.090917,0.116593,0.166051,0.111419,0.22119,0.22119,0.204976,0.170061,0.155973,0.126777,0.081764,0.104516,0.17112,0.121372,0.101588,0.101588,0.189783,0.101413,0.181857,0.001594,0.001453,0.001498,0.001905,0.001468,0.002412,0.002412,0.002154,0.001867,0.001811,0.001602,0.001406,0.001436,0.001911,0.001508,0.001436,0.001436,0.002145,0.001449,0.001952,7.0,4,0.8042142857142858,0.057999999999999996,0.7462142857142857,4,4
224.426067,235.878049,250.810213,6.932208,6.73703,4.673953,126.53201293945312,85.08132934570312,0.0004,5.872857,8.171324,6.613636,4.175781,6.467742,3.485714,3.485714,3.547214,4.11466,4.389757,5.648148,8.167398,7.012012,4.29784,5.834921,7.700366,7.700366,4.247678,7.863227,5.171875,0.275963,-0.330253,0.116915,0.628824,0.161755,0.723595,0.723595,0.715455,0.63425,0.597431,0.325237,-0.346098,0.001974,0.587957,0.284428,-0.202255,-0.202255,0.598072,-0.317056,0.424212,56.027143,103.244853,68.516667,28.910156,64.983871,20.955311,20.955311,21.731424,27.682228,30.41059,50.833333,101.835526,74.690691,30.74537,53.749206,91.0337,91.0337,30.653251,99.386568,43.586806,0.051481,0.051049,0.049536,0.056771,0.05025,0.061834,0.061834,0.061412,0.057712,0.056577,0.052714,0.052214,0.050185,0.057827,0.05245,0.052331,0.052331,0.05685,0.053216,0.053482,0.159979,0.118239,0.135913,0.208899,0.131874,0.268083,0.268083,0.256989,0.214734,0.197187,0.168944,0.114074,0.126594,0.203964,0.157669,0.137579,0.137579,0.218334,0.127739,0.182969,0.00265,0.002606,0.002454,0.003223,0.002525,0.003823,0.003823,0.003771,0.003331,0.003201,0.002779,0.002726,0.002519,0.003344,0.002751,0.002739,0.002739,0.003232,0.002832,0.00286,8.0,4,0.8787972713560949,0.05059803921568627,0.8281992321404086,4,4
222.860294,234.438971,250.542647,7.39562,7.171581,5.054666,141.17205810546875,97.49796295166016,0.0004,6.427907,9.114911,7.463002,4.889535,6.882971,4.102721,4.102721,3.829268,4.397727,4.55609,6.371693,9.176152,7.75,4.945869,6.660819,8.646259,8.646259,5.07604,8.960606,5.842147,0.243492,-0.3993,0.039419,0.562548,0.157305,0.696675,0.696675,0.723063,0.653012,0.627878,0.274001,-0.406691,-0.019269,0.538387,0.190075,-0.252433,-0.252433,0.527217,-0.374874,0.344528,70.216611,129.53762,88.792107,39.866279,76.197299,27.861905,27.861905,25.377331,31.493182,32.863782,67.236772,130.257453,93.690278,42.048433,73.44152,114.814966,114.814966,43.35868,125.019697,58.044071,0.04873,0.052891,0.04762,0.053075,0.048059,0.055155,0.055155,0.058354,0.055014,0.054625,0.048601,0.053025,0.04738,0.052567,0.048436,0.049267,0.049267,0.052151,0.050092,0.050728,0.166278,0.10173,0.129616,0.189813,0.145513,0.221638,0.221638,0.24017,0.202549,0.182088,0.145276,0.093243,0.117999,0.19669,0.147124,0.108271,0.108271,0.185946,0.09759,0.164894,0.002375,0.002798,0.002268,0.002817,0.00231,0.003042,0.003042,0.003405,0.003027,0.002984,0.002362,0.002812,0.002245,0.002763,0.002346,0.002427,0.002427,0.00272,0.002509,0.002573,9.0,4,0.9340894791483026,0.03309803921568627,0.9009914399326164,4,4
